Node 1, start at 436, n: 2, c:11
Node 17, start at 146, n: 2, c:11
Node 2, start at 572, n: 2, c:11
Node 18, start at 498, n: 3, c:11
Node 19, start at 69, n: 2, c:11
Node 19, start at 834, n: 7, c:11
Node 3, start at 879, n: 2, c:11
Node 20, start at 451, n: 53, c:11
Node 20, start at 216, n: 2, c:11
Node 4, start at 710, n: 2, c:11
Node 5, start at 116, n: 2, c:11
Node 0, start at 267, n: 2, c:11
Node 0, start at 283, n: 2, c:11
Node 6, start at 644, n: 2, c:11
Node 1, start at 806, n: 2, c:11
Node 7, start at 479, n: 2, c:11
Node 1, start at 755, n: 2, c:11
Node 2, start at 362, n: 2, c:11
Node 2, start at 357, n: 2, c:11
Node 8, start at 680, n: 2, c:11
Node 3, start at 539, n: 2, c:11
Node 3, start at 160, n: 2, c:11
Node 9, start at 126, n: 2, c:11
Node 4, start at 964, n: 2, c:11
Node 10, start at 857, n: 2, c:11
Node 4, start at 979, n: 2, c:11
Node 5, start at 98, n: 2, c:11
Node 11, start at 441, n: 2, c:11
Node 5, start at 383, n: 2, c:11
Node 6, start at 470, n: 2, c:11
Node 6, start at 206, n: 2, c:11
Node 12, start at 993, n: 2, c:11
Node 7, start at 744, n: 2, c:11
Node 13, start at 790, n: 2, c:11
Node 7, start at 564, n: 2, c:11
Node 8, start at 488, n: 2, c:11
Node 14, start at 577, n: 2, c:11
Node 8, start at 108, n: 2, c:11
Node 9, start at 411, n: 2, c:11
Node 9, start at 142, n: 2, c:11
Node 15, start at 741, n: 2, c:11
Node 10, start at 257, n: 2, c:11
Node 10, start at 115, n: 2, c:11
Node 16, start at 524, n: 2, c:11
Node 11, start at 116, n: 2, c:11
Node 11, start at 38, n: 2, c:11
Node 17, start at 896, n: 2, c:11
Node 12, start at 528, n: 2, c:11
Node 18, start at 189, n: 2, c:11
Node 12, start at 591, n: 2, c:11
Node 13, start at 253, n: 2, c:11
Node 13, start at 862, n: 2, c:11
Node 19, start at 290, n: 2, c:11
Node 20, start at 578, n: 2, c:11
Node 14, start at 889, n: 2, c:11
Node 14, start at 615, n: 2, c:11
Node 15, start at 634, n: 2, c:11
Node 15, start at 158, n: 2, c:11
Node 16, start at 838, n: 2, c:11
Node 16, start at 345, n: 2, c:11
Node 17, start at 146, n: 2, c:11
Node 17, start at 355, n: 2, c:11
Node 18, start at 498, n: 2, c:11
Node 18, start at 254, n: 2, c:11
Node 19, start at 834, n: 2, c:11
Node 19, start at 69, n: 2, c:11
Node 20, start at 451, n: 2, c:11
Node 20, start at 216, n: 2, c:11
Node 0, start at 327, n: 3, c:11
Node 1, start at 501, n: 2, c:11
Node 2, start at 592, n: 2, c:11
Node 3, start at 488, n: 2, c:11
Node 4, start at 349, n: 3, c:11
Node 5, start at 430, n: 2, c:11
Node 6, start at 612, n: 2, c:11
Node 7, start at 206, n: 2, c:11
Node 8, start at 163, n: 5, c:11
Node 9, start at 539, n: 53, c:11
Node 10, start at 145, n: 53, c:11
Node 11, start at 242, n: 53, c:11
Node 12, start at 784, n: 5, c:11
Node 13, start at 482, n: 2, c:11
Node 14, start at 422, n: 2, c:11
Node 15, start at 529, n: 7, c:11
Node 16, start at 227, n: 2, c:11
